id,r,t,p,z,m200b,r200b
45556459951,1759.129517,1.570361,-0.046060,0.451171,1015225384960.000000,0.245498
45556459949,1760.459351,1.570300,-0.048055,0.451558,702848303104.000000,0.217177
45556433062,1765.552002,1.570631,-0.043473,0.453043,898083979264.000000,0.235667
45556433087,1759.237549,1.570347,-0.034134,0.451202,0.000000,0.000000
45556433085,1758.929810,1.570789,-0.033655,0.451112,819989708800.000000,0.228628
45556433088,1759.343994,1.570770,-0.032015,0.451233,780942573568.000000,0.224940
45556433039,1767.625488,1.570719,-0.046153,0.453647,1093319589888.000000,0.251638
45556433090,1767.420410,1.570661,-0.039961,0.453587,702848303104.000000,0.217177
45556433093,1778.202271,1.570440,-0.036681,0.456730,312377016320.000000,0.165737
45556433117,1753.337646,1.570634,-0.021323,0.449482,1210461061120.000000,0.260322
45556433145,1757.060913,1.570415,-0.009136,0.450568,741895438336.000000,0.221127
45556433143,1758.914917,1.570591,-0.011309,0.451108,898083979264.000000,0.235667
45556433151,1761.058228,1.570598,-0.004404,0.451733,39047127040.000000,0.082869
45556433150,1763.875366,1.570574,-0.005968,0.452554,1210461061120.000000,0.260322
45556433119,1768.828369,1.570711,-0.017961,0.453998,663801167872.000000,0.213078
45556433133,1779.629761,1.570468,-0.017157,0.457146,1483790876672.000000,0.278602
45556433164,1774.832275,1.570283,-0.007883,0.455748,3006628888576.000000,0.352549
45556433095,1782.577026,1.570765,-0.035012,0.458005,117141389312.000000,0.119517
45556433096,1782.256714,1.570305,-0.031073,0.457912,2889487482880.000000,0.347910
45556433110,1790.013794,1.570423,-0.034935,0.460177,585706962944.000000,0.204371
45556433094,1799.829834,1.570625,-0.036996,0.463055,546659794944.000000,0.199725
45556433460,1808.427246,1.570592,-0.036874,0.465576,780942573568.000000,0.224940
45556433173,1782.180420,1.570629,-0.004204,0.457889,390471286784.000000,0.178535
45556433177,1787.545044,1.570545,-0.001238,0.459453,1210461061120.000000,0.260322
45556433958,1788.334961,1.570752,-0.000615,0.459685,663801167872.000000,0.213078
45556433526,1811.155029,1.570757,-0.016476,0.466376,1210461061120.000000,0.260322
45556433549,1807.812500,1.570308,-0.002270,0.465396,898083979264.000000,0.235667
45556472283,1824.570801,1.570596,-0.095300,0.470313,3358053105664.000000,0.365782
45556472313,1822.088257,1.570493,-0.089873,0.469582,663801167872.000000,0.213078
45556474152,1813.624268,1.570765,-0.085068,0.467100,859036844032.000000,0.232201
45556474155,1817.038452,1.570327,-0.084320,0.468101,546659794944.000000,0.199725
45556474161,1821.474365,1.570713,-0.081395,0.469402,585706962944.000000,0.204371
45556433244,1829.297729,1.570517,-0.078456,0.471707,819989708800.000000,0.228628
45556474429,1816.526611,1.570364,-0.066710,0.467951,702848303104.000000,0.217177
45556474192,1823.221069,1.570757,-0.072768,0.469915,1132366790656.000000,0.254598
45556433255,1822.456665,1.570553,-0.062819,0.469690,2694251806720.000000,0.339891
45556433253,1814.221069,1.570647,-0.056502,0.467275,937131114496.000000,0.239034
45556433431,1824.288940,1.570321,-0.050515,0.470230,1405696606208.000000,0.273626
